,Year,gdp_per_capita_current,gdp_per_capita_constant_2015,forest_area_hectares,forest_proportion,Flag,woodfuel_coniferous_m3,woodfuel_non_coniferous_m3,ISO3,rural_pop_percent,mean_temp
0,1970,1038.674492,1482.253517,,,E,420000.0,1259000.0,ALB,12.02,12.02
1,1971,1042.771008,1504.466905,,,E,400000.0,1208000.0,ALB,11.73,11.73
2,1972,1047.290691,1527.755541,,,E,400000.0,1208000.0,ALB,11.85,11.85
3,1973,1052.232498,1551.962037,,,E,400000.0,1208000.0,ALB,11.67,11.67
4,1974,1057.353822,1576.398652,,,E,400000.0,1208000.0,ALB,11.76,11.76
5,1975,1063.242479,1603.237289,,,E,400000.0,1208000.0,ALB,11.77,11.77
6,1976,1069.771,1630.829409,,,E,400000.0,1208000.0,ALB,11.24,11.24
7,1977,1075.643628,1656.317542,,,E,400000.0,1208000.0,ALB,12.4,12.4
8,1978,1082.928135,1689.376378,,,E,400000.0,1208000.0,ALB,11.32,11.32
9,1979,884.731616,1719.09792,,,E,400000.0,1208000.0,ALB,11.93,11.93
10,1980,783.002312,1739.593261,,,E,400000.0,1208000.0,ALB,11.34,11.34
11,1981,793.959448,1803.286964,,,E,400000.0,1208000.0,ALB,11.57,11.57
12,1982,801.018258,1819.619745,,,E,400000.0,1208000.0,ALB,12.28,12.28
13,1983,793.556393,1802.854982,,,E,400000.0,1208000.0,ALB,11.67,11.67
14,1984,767.544209,1744.367055,,,E,400000.0,1208000.0,ALB,11.88,11.88
15,1985,768.08624,1739.474223,,,E,400000.0,1208000.0,ALB,12.32,12.32
16,1986,776.346195,1800.260558,,,E,400000.0,1208000.0,ALB,12.17,12.17
17,1987,755.260967,1751.366256,,,E,400000.0,1208000.0,ALB,12.14,12.14
18,1988,765.783381,1692.051874,,,E,400000.0,1208000.0,ALB,12.12,12.12
19,1989,901.917062,1831.508686,,,E,400000.0,1208000.0,ALB,11.84,11.84
20,1990,654.599954,1640.038032,788.8,28.79,A,,1156000.0,ALB,12.5,12.5
21,1990,654.599954,1640.038032,788.8,28.79,E,400000.0,,ALB,12.5,12.5
22,1991,486.548163,1179.124461,,,E,400000.0,1156000.0,ALB,11.21,11.21
23,1992,461.884516,1094.413296,,,E,400000.0,1156000.0,ALB,11.83,11.83
24,1993,518.771788,1200.743449,,,A,15000.0,523000.0,ALB,11.99,11.99
25,1994,575.31821,1303.786738,,,A,11500.0,334000.0,ALB,13.06,13.06
26,1995,734.299736,1482.397675,,,E,11500.0,334000.0,ALB,11.65,11.65
27,1996,985.816222,1594.52257,,,E,11500.0,334000.0,ALB,11.76,11.76
28,1997,688.820057,1427.378304,,,E,11500.0,334000.0,ALB,11.96,11.96
29,1998,795.876444,1562.855673,,,E,,334000.0,ALB,12.26,12.26
30,1998,795.876444,1562.855673,,,X,6330.0,,ALB,12.26,12.26
31,1999,1010.372801,1776.235933,,,A,12000.0,162000.0,ALB,12.64,12.64
32,2000,1101.523635,1913.086714,769.3,28.08,A,24000.0,300000.0,ALB,12.41,12.41
33,2001,1247.445387,2083.725044,,,A,0.0,186600.0,ALB,12.39,12.39
34,2002,1389.833447,2187.881773,,,X,0.0,222200.0,ALB,12.44,12.44
35,2003,1783.612378,2320.692395,,,X,0.0,221000.0,ALB,12.58,12.58
36,2004,2316.174138,2464.028398,,,E,0.0,221000.0,ALB,12.05,12.05
37,2005,2617.575787,2619.219646,,,E,0.0,221000.0,ALB,11.44,11.44
38,2006,2915.973259,2796.869988,,,E,0.0,221000.0,ALB,11.7,11.7
39,2007,3532.160554,2991.593371,,,X,0.0,350000.0,ALB,12.79,12.79
40,2008,4303.926222,3248.154337,,,E,0.0,350000.0,ALB,12.62,12.62
41,2009,4066.957205,3392.759072,,,E,0.0,350000.0,ALB,12.7,12.7
42,2010,4072.38399,3557.880139,782.07,28.54,E,0.0,350000.0,ALB,12.61,12.61
43,2011,4427.512594,3670.035796,,,A,,1100000.0,ALB,12.48,12.48
44,2011,4427.512594,3670.035796,,,E,0.0,,ALB,12.48,12.48
